gtin,categoryParent,colorLabel,modelLabel,productLabelLong,sizeLabel,productCode
795570602555,710-LS WOVENS,126,4HRW7018,LS SNS DOBBY TEXT - BRIGHT WHITE - 4HRW7018,M,795570602555
795570643275,730-POLOS,10,4HRK7125,SS SLD 3BTN PLO REC - BLACK - 4HRK7125,S,795570643275
713610532624,910-WOVENS,996,CUWFC21B,SS L/C DOBBY CAMP COLLAR SHIRT - SPELLBOUND - CUWFC21B,3XLT,713610532624
795570983463,710-LS WOVENS,394,4IRW7001,LS NON-IRON TWILL - GOBLIN BLUE - 4IRW7001,XXL,795570983463
795570916591,910-WOVENS,684,C9HW0035,LS LINEN GUAYABERA - PINK DOGWOOD - C9HW0035,L,795570916591
740700452210,910-WOVENS,460,C9HW0034,SS LINEN GUAYABERA - ENSIGN BLUE - C9HW0034,XXL,740700452210
795570651515,711-SS WOVENS,10,4ISW7034,SS STR FLORAL JACQ - BLACK - 4ISW7034,M,795570651515
795570551419,820-SUIT SEPARATES,649,4HFJ7703,VERY SLIM TUX JACKET - PORT - 4HFJ7703,XXX48x2SH,795570551419
795570987409,820-SUIT SEPARATES,401,4IRJ4402,SLIM FASHION PLAID SUIT JKT - NAVY - 4IRJ4402,L42x1RG,795570987409
795570511048,711-SS WOVENS,42,4HFW7074,SS SLM DOTS TS - ABBEY STONE - 4HFW7074,M,795570511048
795570605723,711-SS WOVENS,978,4HHW4004,SS GEO TS - HIGH TIDE - 4HHW4004,M,795570605723
799016626877,411-SS WOVENS,488,OCWF3006,SS OXFORD AOP RE-PETE - CLASSIC BLUE - OCWF3006,L,799016626877
795570643282,730-POLOS,10,4HRK7125,SS SLD 3BTN PLO REC - BLACK - 4HRK7125,M,795570643282
795570609851,820-SUIT SEPARATES,989,4HRJ4400,SLIM FIT LINEN SUIT - HAZY BLUE - 4HRJ4400,S38x2SH,795570609851
611318721732,750-DRESS BOTTOMS,468,5RSB0041,SLM MST PLY SLD EWB PNT - INK - 5RSB0041,32x34,611318721732
888987791902,770-ACCESSORIES,600,3P931082,SANTORD PAISLEY - RE - 3P931082,NS,888987791902
713610450041,920-SWEATERS,489,CUKFD031,LS JACQUARD CREW NECK SWEATER - NAVAL ACADEMY - CUKFD031,S,713610450041
888987766733,770-ACCESSORIES,100,3PB22304,LARGE SATIN PRE-TIED BOWTIE - WHT - 3PB22304,NS,888987766733
795570673357,760-DRESS SHIRTS,468,4ISW3015,LS DRESS YD TONAL TWILL STRIPE - INK - 4ISW3015,S,795570673357
795570648201,711-SS WOVENS,445,4ISW4031,SS SOFT LARGE FLORAL - CASHMERE BLUE - 4ISW4031,S,795570648201
717312471861,910-WOVENS,115,CUWS8060,SS TC CAMP COLLAR GUAYABERA - PURE WHITE - CUWS8060,XL,717312471861
795570592283,820-SUIT SEPARATES,270,4HHB4309,L/C HBONE PNT - NATURAL LINEN - 4HHB4309,38x32,795570592283
94833173291,732-T-SHIRTS,316,4GSK7113,SS VRT RIB CRW - DARK FOREST - 4GSK7113,M,94833173291
795570523447,740-CASUAL BOTTOMS,10,4HSB7335,SKINNY CHINO - BLACK - 4HSB7335,33x30,795570523447
889817653926,771-FOOTWEAR,20,PE19080,CHRIS - GREY - PE19080,9,889817653926
795570644791,742-SHORTS,405,4HRH7832,LINEN DRAWSTRING SHORTS - DARK SAPPHIRE - 4HRH7832,XL,795570644791
795570930283,730-POLOS,649,4HFK7175,SS EOE 3BT PLO REC - PORT - 4HFK7175,XXL,795570930283
795570643817,730-POLOS,468,4ISK7116,SS CB POLO - INK - 4ISK7116,S,795570643817
94833172096,740-CASUAL BOTTOMS,85,4JSB7361,SLM ANYWHERE CHINO - SHADOW - 4JSB7361,29x30,94833172096
795570550528,730-POLOS,10,4DSK7607,SS EOE 3BT PLO B&T - BLACK - 4DSK7607,LT,795570550528
795570601503,710-LS WOVENS,366,4FFW7057,LS SLM TS SOLID UNTK - JASPER - 4FFW7057,XXL,795570601503
795570931655,750-DRESS BOTTOMS,10,4IFB4332,SLIM SOLID KNIT SUIT PANT - BLACK - 4IFB4332,34x34,795570931655
795570602333,710-LS WOVENS,37,4HRW7002,LS LINEN HOOD TENEL - ROCK RIDGE - 4HRW7002,XL,795570602333
94833173031,730-POLOS,330,4DSK7707,SS EOE 3BT PLO - RESEDA - 4DSK7707,L,94833173031
795570624175,740-CASUAL BOTTOMS,10,4HSB7335,SKINNY CHINO - BLACK - 4HSB7335,36x34,795570624175
795570662467,820-SUIT SEPARATES,405,4FSJ7709,SLM ST SLD DOT PTRN KNIT JKT - DARK SAPPHIRE - 4FSJ7709,S38x1RG,795570662467
795570674712,820-SUIT SEPARATES,91,4HSB7710,SLM ST W/R TECH SUIT PNT  - SMOKED PEARL - 4HSB7710,36x30,795570674712
795570650143,732-T-SHIRTS,121,4IMG7212,SS TECH CONTRAST RIB CREW - CREAM - 4IMG7212,M,795570650143
611318716332,750-DRESS BOTTOMS,277,5RSB0041,SLM MST PLY SLD EWB PNT - GRAVEL - 5RSB0041,34x34,611318716332
795570624243,740-CASUAL BOTTOMS,126,4HSB7335,SKINNY CHINO - BRIGHT WHITE - 4HSB7335,40x30,795570624243
795570651058,742-SHORTS,43,4DSH7750,ST SLD TECH SHRT - AQUA GRAY - 4DSH7750,38,795570651058
94833168235,710-LS WOVENS,10,4JSW7028,SS DOBBY PRNT FLORAL - BLACK - 4JSW7028,L,94833168235
629075013519,770-ACCESSORIES,1,UMPE098,"EDI SOLID BLACK, COTTON STRETCH BOXER BR - BLACK - UMPE098",XL,629075013519
94833168297,710-LS WOVENS,248,4JSW7028,SS DOBBY PRNT FLORAL - ELMWOOD - 4JSW7028,L,94833168297
795570931242,780-OUTERWEAR,248,4GFR7700,LGHT WGHT HOOD PFFR - ELMWOOD - 4GFR7700,S,795570931242
795570768220,820-SUIT SEPARATES,49,4ISJ4426,SLIM PINSTRIPE SUIT JKT - DARK CHARCOAL - 4ISJ4426,M40x2SH,795570768220
94833168211,710-LS WOVENS,10,4JSW7028,SS DOBBY PRNT FLORAL - BLACK - 4JSW7028,S,94833168211
713610170215,960-SWIM,473,CUSSD029,"""T/E TROPICAL PLACEMENT 7"""" SWIM SHORT - NAVY PEONY - CUSSD029""",XXL,713610170215
795570931624,750-DRESS BOTTOMS,10,4IFB4332,SLIM SOLID KNIT SUIT PANT - BLACK - 4IFB4332,38x32,795570931624
795570653496,741-DENIM,470,4ISB530D,DARK INDIGO ECO DENIM - DARK INDIGO - 4ISB530D,32x32,795570653496
795570624250,740-CASUAL BOTTOMS,126,4HSB7335,SKINNY CHINO - BRIGHT WHITE - 4HSB7335,29x30,795570624250
795570073621,733-COLLECTION,71,4GSB2302,SLM ST PERF 5 PKT - MUSHROOM GREY - 4GSB2302,32x30,795570073621
795570608274,820-SUIT SEPARATES,10,4HRJ4403,TEXTURED NON-SOLID SUIT - BLACK - 4HRJ4403,L42x1RG,795570608274
795570936926,820-SUIT SEPARATES,649,4IFJ4432,SLIM SOLID KNIT SUIT JACKET  - PORT - 4IFJ4432,XS36x1RG,795570936926
795570643497,730-POLOS,235,4HFK7175,SS EOE 3BT PLO - GINGER BREAD - 4HFK7175,XXL,795570643497
795570645002,742-SHORTS,126,4ISH7835,COTTON TWILL PRINTED SHORTS - BRIGHT WHITE - 4ISH7835,38,795570645002
7453115820491,771-FOOTWEAR,10,HP681A,VELVET PENNY LOAFERS - BLACK - HP681A,7.5,7453115820491
795570617665,733-COLLECTION,737,EHRH7000,FF CHINO SHORT - PASTEL YELLOW - EHRH7000,32,795570617665
795570769753,732-T-SHIRTS,405,4IMK7128,SS LGO CRW - DARK SAPPHIRE - 4IMK7128,M,795570769753
795570934342,711-SS WOVENS,403,4IFW7069,SS CONTRAST FLORAL TS - TITAN - 4IFW7069,L,795570934342
